Created on,Problem,Solution,Priority,Skill Level, Estimated Cost of Repair - amount ,Status,Funding,Date Completed, Final Cost of Repair/Investment - amount ,Community,Volunteer or Groups,Contractor
2023-11-15 10:09,Chimney seems to be able to collapse at any moment. You can see daylight through mortar joints.,Demo the damaged portions of the chimney and repair with new brick and mortar as needed.,Urgent,High,,Waiting,HOP,,,Revere/Sodom,,
2023-11-15 10:07,Tub grab bar is loose and dry wall around tub is water damaged.,Remove grab bar and remove soft/damaged drywall. Install new dry wall as needed and install a new grab bar.,Urgent,High,,Waiting,HOP,,,Revere/Sodom,,
2023-11-15 10:02,Floor rotten in the bathroom that has caused a hole in the floor in between the sink and tub. Flooring around the toilet is soft and is causing the toilet to rock.,"Tear out old floor and fixtures. (sink, tub, toilet). Repair any joists and lay new subfloor.",Urgent,High,,Waiting,HOP,,,Revere/Sodom,,
2023-11-15 9:54,Only two beds for 6 children. Current beds are worn out.,Take out the old beds and replace with 6 new mattresses.,Urgent,Low,,Waiting,HOP,,,Revere/Sodom,,
2023-11-15 9:49,Only 1-2 burner work on the stove.,Remove old damaged stove and reinstall a new stove with correct plugin.,High,Low, $600 ,Waiting,HOP,,,Revere/Sodom,,
2023-11-14 12:22,Front deck has no hand rail.,"Install new handrail using 4x4 posts and 2x4 rails at 36"" high.",High,High,,Waiting,Summer Group; Volunteer,,,Shelton Laurel,,
2023-11-14 12:17,Back deck is rotting and is unsafe.,"Replace with similar sized deck (10' x 10') with standard 36"" high railings and low rise steps.",High,High,,Waiting,Summer Group; Volunteer,,,Shelton Laurel,,
2023-11-14 12:12,Roof is leaking in a few places.,Remove and repair damaged plywood/shingles as needed. Install new purlins and metal roofing.,Urgent,High," $4,000 ",Waiting,URP,,,Shelton Laurel,,
2023-11-14 11:52,Front door needs to be replaced.,Install new front door with operating latch. Install new storm door.,High,High," $1,000 ",Waiting,,,,Marshall,,
2023-11-14 11:51,Roof is leaking at seams.,"Framing and purlins, metal roof needed. Build new roof over old roof.",Urgent,High," $7,500 ",Waiting,,,,Marshall,,
2023-11-14 11:49,Rat and roach infestation.,Hire an exterminator to address the infestation.,Urgent,High, $500 ,Waiting,,,,Marshall,,
2023-11-02 10:10,Water heater not plumbed to code. Only copper fittings are to be fitted directly to the tank,Have a licensed plumber or qualified handyman replace pex connections with copper fittings.,Low,High, $200 ,Waiting,,,,,,
2023-11-01 15:30,Air is able to get through seams of the front door.,Add weather stripping to help seal the door.,Low,Low,,,,,,Marshall,,
2023-11-01 15:25,Multiple windows are broken and not functioning and some are boarded up.,Remove all broken and boarded up windows and replace with new windows,High,High,,,,,,Marshall,,
2023-11-01 15:23,Front door stoop is a tripping hazard.,Demo and replace with new stoop,High,Low,,,,,,Marshall,,
2023-11-01 15:19,Exterior lap siding is broken and/or missing in multiple places.,Remove and replace as needed.,High,High,,,,,,Marshall,,
2023-11-01 15:17,Interior walls have paneling and tar paper and are covering old bead board walls which traps moisture.,Remove paneling and tar paper to inspect for water damage on the walls. Demo damaged walls as needed and repair,High,High,,,,,,Marshall,,
